url,image,name,price,brand,sv_star,sv_num_reviews
https://www.stylevana.com/en_US/aplb-azelaic-acid-peptide-ampoule-serum-40ml23937.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/p/aplb-azelaic-acid-peptide-ampoule-serum-40ml-821.jpg,APLB - Azelaic Acid Peptide Ampoule Serum - 40ml,$10.63,APLB,4.7,26
https://www.stylevana.com/en_US/anua-niacinamide10-txa-4-dark-spot-removing-serum-30ml23893.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/n/anua-niacinamide10-txa-4-dark-spot-removing-serum-30ml-218.jpg,ANUA - Niacinamide10% + TXA 4% Dark Spot Removing Serum - 30ml,$22.00,ANUA,4.2,225
https://www.stylevana.com/en_US/purito-seoul-pure-vitamin-c-serum-60ml25538.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/p/u/purito-pure-vitamin-c-serum-new-60ml-688.jpg,Purito SEOUL - Pure Vitamin C Serum - 60ml,$13.67,Purito SEOUL,4.1,288
https://www.stylevana.com/en_US/axis-y-dark-spot-correcting-glow-serum-5ml23984.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/x/axis-y-dark-spot-correcting-glow-serum-5ml-474.jpg,AXIS-Y - Dark Spot Correcting Glow Serum - 5ml,$3.29,AXIS-Y,4.8,6
https://www.stylevana.com/en_US/cosrx-the-vitamin-c-23-serum-20ml24375.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/o/cosrx-the-vitamin-c-23-serum-20ml-866.jpg,COSRX - The Vitamin C 23 Serum - 20ml,$18.99,COSRX,4.0,74
https://www.stylevana.com/en_US/goodal-green-tangerine-vita-c-dark-spot-care-serum-40ml24611.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/g/o/goodal-goodal-green-tangerine-vita-c-dark-spot-care-serum-40ml-721.jpg,Goodal - Green Tangerine Vita-C Dark Spot Care Serum - 40ml,$24.73,Goodal,4.3,114
https://www.stylevana.com/en_US/cos-de-baha-azelaic-acid-10-serum-az-30ml24219.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/o/cos-de-baha-azelaic-acid-10-serum-az-30ml-922.jpg,Cos De BAHA - Azelaic Acid 10% Serum (AZ) - 30ml,$11.39,Cos De BAHA,4.4,91
https://www.stylevana.com/en_US/numbuzin-no-9-nad-bio-lifting-essence-50ml25321.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/n/u/numbuzin-no-9-nad-bio-lifting-essence-50ml-197.jpg,numbuzin - No.9 NAD Bio Lifting Essence - 50ml,$28.64,numbuzin,NA,0
https://www.stylevana.com/en_US/beauty-of-joseon-glow-serum-propolis-niacinamide-60ml24168.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-glow-serum-propolis-niacinamide-60ml-625.jpg,BEAUTY OF JOSEON - Glow Serum : Propolis + Niacinamide - 60ml,$24.00,BEAUTY OF JOSEON,4.0,1
https://www.stylevana.com/en_US/some-by-mi-retinol-intense-reactivating-serum-30ml25804.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/s/o/some-by-mi-retinol-intense-reactivating-serum-30ml-207.jpg,SOME BY MI - Retinol Intense Reactivating Serum - 30ml,$22.25,SOME BY MI,4.3,62
https://www.stylevana.com/en_US/anua-7-rice-ceramide-hydrating-barrier-serum-50ml23889.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/n/anua-7-rice-ceramide-hydrating-barrier-serum-50ml-74.jpg,ANUA - 7 Rice Ceramide Hydrating Barrier Serum - 50ml,$22.00,ANUA,4.4,9
https://www.stylevana.com/en_US/rohto-mentholatum-melano-cc-premium-brightening-essence-japan-version-20ml11174.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/r/o/rohto-mentholatum-melano-cc-premium-brightening-essence-japan-version-20ml-76.jpg,Rohto Mentholatum  - Melano CC Premium Brightening Essence (Japan Version) - 20ml,$17.69,Rohto Mentholatum,4.7,51
https://www.stylevana.com/en_US/aplb-glutathione-niacinamide-ampoule-serum-40ml23896.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/p/aplb-glutathione-niacinamide-ampoule-serum-40ml-207.jpg,APLB - Glutathione Niacinamide Ampoule Serum - 40ml,$10.63,APLB,4.7,73
https://www.stylevana.com/en_US/aplb-retinol-vitamin-c-vitamin-e-ampoule-serum-40ml23944.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/p/aplb-retinol-vitamin-c-vitamin-e-ampoule-serum-40ml-118.jpg,APLB - Retinol Vitamin C Vitamin E Ampoule Serum - 40ml,$10.63,APLB,4.7,43
https://www.stylevana.com/en_US/beauty-of-joseon-revive-serum-ginseng-snail-mucin-30ml.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-revive-serum-ginseng-snail-mucin-30ml-560.jpg,BEAUTY OF JOSEON - Revive Serum : Ginseng + Snail Mucin - 30ml,$16.60,BEAUTY OF JOSEON,4.6,98
https://www.stylevana.com/en_US/celimax-pore-dark-spot-brightening-serum-30ml.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/e/celimax-pore-dark-spot-brightening-serum-30ml-202.jpg,CELIMAX - Pore+Dark Spot Brightening Serum - 30ml,$21.97,CELIMAX,5.0,1
https://www.stylevana.com/en_US/beauty-of-joseon-glow-deep-serum-rice-alpha-arbutin-30ml24179.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-glow-deep-serum-rice-alpha-arbutin-30ml-708.jpg,BEAUTY OF JOSEON - Glow Deep Serum : Rice + Alpha Arbutin - 30ml,$16.60,BEAUTY OF JOSEON,4.5,185
https://www.stylevana.com/en_US/aplb-kojic-acid-vitamin-c-ampoule-serum-40ml23971.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/p/aplb-kojic-acid-vitamin-c-ampoule-serum-40ml-313.jpg,APLB - Kojic Acid Vitamin C Ampoule Serum - 40ml,$10.63,APLB,5.0,9
https://www.stylevana.com/en_US/abib-glutathiosome-dark-spot-serum-vita-drop-50ml23854.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/b/abib-glutathiosome-dark-spot-serum-vita-drop-50ml-311.jpg,Abib - Glutathiosome Dark Spot Serum Vita Drop - 50ml,$27.78,Abib,4.8,4
https://www.stylevana.com/en_US/beauty-of-joseon-light-on-serum-centella-vita-c-30ml24175.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-light-on-serum-centella-vita-c-30ml-259.jpg,BEAUTY OF JOSEON - Light On Serum : Centella + Vita C - 30ml,$16.60,BEAUTY OF JOSEON,4.2,33
https://www.stylevana.com/en_US/cosrx-the-hyaluronic-acid-3-serum-20ml24374.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/o/cosrx-the-hyaluronic-acid-3-serum-20ml-639.jpg,COSRX - The Hyaluronic Acid 3 Serum - 20ml,$18.99,COSRX,5.0,1
https://www.stylevana.com/en_US/medicube-pdrn-pink-peptide-serum-30ml25046.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/m/e/medicube-pdrn-pink-peptide-serum-30ml-95.jpg,medicube - PDRN Pink Peptide Serum - 30ml,$27.78,medicube,4.8,45
https://www.stylevana.com/en_US/i-m-from-mugwort-essence-160ml10983.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/i/-/i-m-from-mugwort-essence-160ml-845.jpg,I'm From - Mugwort Essence - 160ml,$28.00,I'm From,4.6,110
https://www.stylevana.com/en_US/cosrx-the-niacinamide-15-serum-20ml24376.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/o/cosrx-the-niacinamide-15-serum-20ml-881.jpg,COSRX - The Niacinamide 15 Serum - 20ml,$18.99,COSRX,4.6,13
https://www.stylevana.com/en_US/beauty-of-joseon-ginseng-essence-water-150ml-5-fl-oz10738.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-ginseng-essence-water-150ml-5-fl-oz--937.jpg,BEAUTY OF JOSEON - Ginseng Essence Water - 150ml(5 fl.oz.),$17.58,BEAUTY OF JOSEON,4.7,435
https://www.stylevana.com/en_US/the-ordinary-hyaluronic-acid-2-b5-30ml25372.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/t/h/the-ordinary-hyaluronic-acid-2-b5-30ml-715.jpg,The Ordinary - Hyaluronic Acid 2% + B5 - 30ml,$16.63,The Ordinary,3.0,1
https://www.stylevana.com/en_US/numbuzin-no-5-glutathione-vitamin-concentrated-serum-30ml25336.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/n/u/numbuzin-no-5-vitamin-concentrated-serum-30ml-496.jpg,numbuzin - No.5+ Glutathione Vitamin Concentrated Serum - 30ml,$22.57,numbuzin,4.6,86
https://www.stylevana.com/en_US/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml24930.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/k/s/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml-973.jpg,KSECRET - SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng - 30ml,$16.71,KSECRET,4.7,53
https://www.stylevana.com/en_US/purito-seoul-wonder-releaf-centella-serum-unscented-60ml25577.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/p/u/purito-seoul-wonder-releaf-centella-serum-unscented-60ml-699.jpg,Purito SEOUL - Wonder Releaf Centella Serum Unscented - 60ml,$16.70,Purito SEOUL,4.8,303
https://www.stylevana.com/en_US/rohto-mentholatum-rohto-melano-cc-concentration-measures-essence-20ml11184.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/r/o/rohto-mentholatum-rohto-melano-cc-concentration-measures-essence-2021-version-20ml-994.jpg,Rohto Mentholatum   - Rohto Melano CC Concentration Measures Essence - 20ml,$11.59,Rohto Mentholatum,4.7,272
https://www.stylevana.com/en_US/rohto-mentholatum-hada-labo-h-a-supreme-vita-brightening-concentrate-serum-for-deep-hydration-whitening-30ml25098.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/r/o/rohto-mentholatum-hada-labo-h-a-supreme-vita-brightening-concentrate-30ml-829.jpg,Rohto Mentholatum - Hada Labo H.A. Supreme Vita Brightening Concentrate Serum (For Deep Hydration & Whitening) - 30ml,$44.19,Rohto Mentholatum,5.0,2
https://www.stylevana.com/en_US/axis-y-dark-spot-correcting-glow-serum-50ml23985.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/x/axis-y-dark-spot-correcting-glow-serum-50ml-110.jpg,AXIS-Y - Dark Spot Correcting Glow Serum - 50ml,$18.00,AXIS-Y,4.3,638
https://www.stylevana.com/en_US/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml23887.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/n/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml-364.jpg,ANUA - Azelaic Acid 10 Hyaluron Redness Soothing Serum - 30ml,$22.00,ANUA,4.7,6
https://www.stylevana.com/en_US/haruharu-wonder-black-rice-probiotics-barrier-essence-milky-essence-120ml10965.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/h/a/haruharu-wonder-black-rice-probiotics-barrier-essence-120ml-21.jpg,haruharu wonder - Black Rice Probiotics Barrier Essence (Milky Essence) - 120ml,$16.07,haruharu wonder,4.9,51
https://www.stylevana.com/en_US/beauty-of-joseon-glow-serum-propolis-niacinamide-30ml24182.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-glow-serum-proplis-niacinamide-30ml-809.jpg,BEAUTY OF JOSEON - Glow Serum : Propolis + Niacinamide - 30ml,$16.60,BEAUTY OF JOSEON,4.6,740
https://www.stylevana.com/en_US/cosrx-advanced-snail-96-mucin-power-essence-100ml10777.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/o/cosrx-advanced-snail-96-mucin-power-essence-100ml-492.jpg,COSRX - Advanced Snail 96 Mucin Power Essence 100ml,$18.99,COSRX,4.6,1651
